"Points:0","Points:1","Points:2"
-0.09741,-0.048276,-0.0022234
-0.10168,-0.0012099,-0.051056
-0.10305,-0.047895,-0.018606
-0.098203,-0.0058723,-0.048976
-0.10581,-0.053254,-0.0011373
-0.10577,-0.045925,-0.029241
-0.099034,-0.040773,-0.0098136
-0.098733,-0.037148,-0.0066768
-0.1072,-0.052461,-0.014947
-0.1096,-0.029015,-0.04944
-0.10556,-0.032618,-0.041253
-0.10124,-0.019612,-0.05019
-0.10384,-0.045651,-0.029732
-0.10531,-0.015913,-0.037118
-0.10324,-0.026358,-0.046976
-0.10065,-0.047357,-0.021396
-0.098015,-0.0072749,-0.034026
-0.10014,-0.022806,-0.010292
-0.11182,-0.023317,-0.047413
-0.11941,-0.059164,-0.00434
-0.11304,-0.048205,-0.028634
-0.10578,-0.038679,-0.035694
-0.1131,-0.051746,-0.025146
-0.1009,-0.015075,-0.0097868
-0.099596,-0.0003657,-0.0039633
-0.099614,-0.00049435,-0.0035908
-0.11416,-0.045682,-0.034043
-0.10024,-0.012042,-0.036314
-0.10332,-0.034619,-0.0029723
-0.10088,-0.022908,-0.045234
-0.11433,-0.039809,-0.032126
-0.11184,-0.053678,-0.016238
-0.10706,-0.026234,-0.04077
-0.11074,-0.036884,-0.013343
-0.098333,-0.025487,-0.00046843
-0.10842,-0.03005,-0.024939
-0.10464,-0.040907,-0.0040332
-0.099749,-0.0042083,-0.0020349
-0.11122,-0.038104,-0.038069
-0.10998,-0.047028,-0.027671
-0.11119,-0.022866,-0.050903
-0.11027,-0.030484,-0.047621
-0.10053,-0.038894,-0.03035
-0.11804,-0.045007,-0.033998
-0.10195,-0.044688,-0.0056398
-0.09907,-0.01715,-0.029334
-0.099589,-0.025468,-0.0080836
-0.11904,-0.041725,-0.042837
-0.12344,-0.060231,-0.018144
-0.11273,-0.0041326,-0.054018
-0.10504,-0.0032448,0.00031316
-0.10335,-0.0019846,-0.00060729
-0.10737,-0.056191,-0.0048196
-0.12364,-0.055854,-0.027779
-0.10077,-0.024877,-0.0009598
-0.099192,-0.020715,-0.018763
-0.1003,-0.0059525,-0.00047937
-0.11539,-0.025657,-0.031664
-0.12021,-0.052066,-0.023957
-0.11214,-0.027259,-0.037072
-0.10111,-0.0088725,-0.047453
-0.10817,-0.051722,-0.0021498
-0.1135,-0.024514,-0.0086964
-0.10174,-0.053451,-0.0058915
-0.1117,-0.046579,-0.0015919
-0.10729,-0.0038706,-0.020699
-0.11069,-0.01134,-0.021868
-0.10273,-0.013809,-0.038413
-0.11662,-0.033151,-0.00029105
-0.11583,-0.054422,-0.0087987
-0.10008,-0.0050566,-0.0024015
-0.11207,-0.0039948,-0.02657
-0.11709,-0.058788,-0.0034992
-0.10155,-0.010537,-0.033835
-0.11123,-0.0070053,-0.0003201
-0.11101,-0.02792,-0.012415
-0.12754,-0.03309,-0.055253
-0.1117,-0.00095477,-0.00048038
-0.11311,-0.021206,-0.036757
-0.10874,-0.026207,-0.04776
-0.11818,-0.020746,-0.056863
-0.11287,-0.022305,-0.052057
-0.10742,-0.0040915,-0.021134
-0.11977,-0.038431,-0.0067196
-0.11857,-0.015691,-0.037355
-0.11351,0.00033756,0.00053218
-0.11512,-0.015215,-0.04267
-0.10557,-0.0020325,-0.0019924
-0.09767,-0.039368,-0.0091337
-0.11759,-0.023158,-0.0014368
-0.11203,-0.028994,-0.013705
-0.12085,-0.014891,-0.054204
-0.11704,-0.038465,-0.036575
-0.10906,-0.034996,-0.021136
-0.10776,-0.020543,-0.018205
-0.12048,-0.047309,-0.037249
-0.10599,-0.034683,-0.024694
-0.1155,-0.015118,-0.028541
-0.11636,-0.041138,-0.044388
-0.11235,-0.056558,-0.011166
-0.11378,-0.00088338,-0.0033358
-0.12196,-0.045338,-0.027498
-0.10437,-0.010368,-0.0090527
-0.11453,-0.014241,-0.027782
-0.11222,-0.025812,-0.034748
-0.11335,-0.021408,-0.026621
-0.12347,-0.057616,-0.025988
-0.099917,-0.031062,-0.036916
-0.12068,-0.024641,-0.016701
-0.11706,-0.053772,-0.019681
-0.11678,-0.018063,-0.021819
-0.10228,-0.006832,-0.015798
-0.11182,-0.022305,-0.013029
-0.12757,-0.053622,-0.028336
-0.12043,-0.044355,-0.0021472
-0.11712,-0.010798,-0.020743
-0.10132,0.00037293,0.00031519
-0.10479,-0.050095,-0.0099256
-0.10327,-0.0055677,-0.0041287
-0.10906,-0.026906,-0.049991
-0.10295,-0.0057323,-0.015723
-0.11096,-0.013555,-0.053026
-0.11837,-0.014842,-0.058196
-0.10813,-0.038094,-0.040038
-0.11305,-0.0071953,-0.014049
-0.11741,-0.014847,-0.011374
-0.11934,-0.028789,-0.016052
-0.10227,-0.0041137,-0.010127
-0.11618,-0.022202,-0.011543
-0.11151,-0.00575,-0.037715
-0.11702,-0.019833,-0.013078
-0.11643,-0.051497,-0.0063651
-0.11489,-0.0099279,-0.043085
-0.1004,-0.0097608,-0.0053026
-0.12161,-0.017613,-0.040259
-0.11462,-0.0058826,-8.561e-06
-0.098594,-0.01575,-0.015363
-0.10233,-0.041677,-0.011077
-0.12091,-0.0039429,-0.0058765
-0.099333,4.4451e-06,-0.00037563
-0.11366,4.546e-05,0.00063236
-0.1244,-0.001703,-0.055577
-0.12622,-0.039351,-0.022872
-0.12285,-0.03511,-0.035795
-0.12366,-0.0024572,-0.029047
-0.11975,-0.030756,-0.0091923
-0.11846,-0.028091,-0.052048
-0.10631,-0.00078447,0.00027335
-0.10009,-0.014987,-0.016139
-0.11975,-0.020449,-0.017002
-0.12413,-0.022985,-0.056867
-0.10968,-0.0005512,-0.0034546
-0.11456,-0.0167,-0.031453
-0.11947,-0.015878,-0.014566
-0.1097,-0.023175,-0.0086037
-0.11277,-0.0042593,-0.00944
-0.11004,-0.0030575,-0.04722
-0.10281,-0.053138,-0.0064602
-0.11138,-0.05606,-0.0099554
-0.11191,-0.0043739,-0.042072
-0.12701,-0.064466,-0.0032092
-0.11451,-0.015183,-0.04747
-0.11935,-0.031304,-0.01259
-0.11297,-0.016458,-0.0227
-0.13505,-0.053265,-0.038507
-0.12066,-0.0069912,-0.018928
-0.10455,-0.047062,-0.023187
-0.12718,-0.042883,-0.01983
-0.1195,-0.052947,-0.022025
-0.12023,-0.0051895,-2.5518e-05
-0.12757,-0.016341,-0.037467
-0.11998,-0.0085151,-0.050237
-0.11825,-0.023636,-0.020001
-0.12555,-0.056877,-0.0012445
-0.1101,-0.020693,-0.036804
-0.11646,-0.050438,-0.021867
-0.10781,-0.010606,-0.017046
-0.10441,-0.0023002,-0.00014424
-0.12447,-0.038609,-0.041725
-0.10319,-0.003306,-0.025752
-0.11934,-0.036155,-0.0021612
-0.11783,-0.0079707,-0.0071701
-0.11649,-0.033331,-0.046149
-0.10844,-0.0044836,-0.02608
-0.11077,-0.051718,-0.020795
-0.1151,1.3262e-05,-0.0012374
-0.11648,-0.0031634,-0.0069898
-0.12207,-0.02456,-0.016649
-0.10276,-0.019454,-0.010767
-0.10438,-0.018606,-0.012421
-0.13456,-0.066589,-0.0058482
-0.12014,-0.035888,-0.0062946
-0.11757,-0.036636,-0.030182
-0.10719,-0.017063,-0.031488
-0.12817,-0.03892,-0.0016579
-0.12168,-0.007193,-0.0014897
-0.12401,-0.020404,-0.023833
-0.11137,-0.0016241,-0.011737
-0.11024,-0.0088863,-0.024874
-0.10189,-0.023639,-0.017489
-0.11849,-0.029218,-0.030745
-0.11084,-0.02104,-0.024454
-0.11708,-0.0020285,-0.0062604
-0.11146,-0.012203,-0.036579
-0.12806,-0.018201,-0.018
